Region,Offset,Motif,Count,Total
Shuffle,±0.0kb,FG-dDMR_22,73,835
Shuffle,±0.0kb,FG-dDMR_23,76,835
Shuffle,±0.0kb,FG-dDMR_24,77,835
Shuffle,±0.0kb,FG-siren_01,34,835
Shuffle,±0.0kb,FG-siren_02,61,835
Shuffle,±0.0kb,FG-siren_03,58,835
Shuffle,±0.0kb,FG-siren_04,41,835
Shuffle,±0.0kb,FG-siren_05,68,835
Shuffle,±0.0kb,FG-siren_06,49,835
Shuffle,±0.0kb,FG-siren_07,63,835
Shuffle,±0.0kb,FG-siren_08,74,835
Shuffle,±0.0kb,FG-siren_09,103,835
Shuffle,±0.0kb,FG-siren_10,64,835
Shuffle,±1.0kb,FG-dDMR_01,295,835
Shuffle,±1.0kb,FG-dDMR_02,30,835
Shuffle,±1.0kb,FG-dDMR_03,182,835
Shuffle,±1.0kb,FG-dDMR_04,274,835
Shuffle,±1.0kb,FG-dDMR_05,240,835
Shuffle,±1.0kb,FG-dDMR_06,92,835
Shuffle,±1.0kb,FG-dDMR_07,172,835
Shuffle,±1.0kb,FG-dDMR_08,302,835
Shuffle,±1.0kb,FG-dDMR_09,141,835
Shuffle,±1.0kb,FG-dDMR_10,149,835
Shuffle,±1.0kb,FG-dDMR_11,213,835
Shuffle,±1.0kb,FG-dDMR_12,344,835
Shuffle,±1.0kb,FG-dDMR_13,313,835
Shuffle,±1.0kb,FG-dDMR_14,15,835
Shuffle,±1.0kb,FG-dDMR_15,248,835
Shuffle,±1.0kb,FG-dDMR_16,257,835
Shuffle,±1.0kb,FG-dDMR_17,194,835
Shuffle,±1.0kb,FG-dDMR_18,95,835
Shuffle,±1.0kb,FG-dDMR_19,216,835
Shuffle,±1.0kb,FG-dDMR_20,191,835
Shuffle,±1.0kb,FG-dDMR_21,372,835
Shuffle,±1.0kb,FG-dDMR_22,251,835
Shuffle,±1.0kb,FG-dDMR_23,246,835
Shuffle,±1.0kb,FG-dDMR_24,249,835
Shuffle,±1.0kb,FG-siren_01,129,835
Shuffle,±1.0kb,FG-siren_02,178,835
Shuffle,±1.0kb,FG-siren_03,189,835
Shuffle,±1.0kb,FG-siren_04,129,835
Shuffle,±1.0kb,FG-siren_05,210,835
Shuffle,±1.0kb,FG-siren_06,165,835
Shuffle,±1.0kb,FG-siren_07,237,835
Shuffle,±1.0kb,FG-siren_08,234,835
Shuffle,±1.0kb,FG-siren_09,292,835
Shuffle,±1.0kb,FG-siren_10,226,835
Shuffle,±2.0kb,FG-dDMR_01,417,835
Shuffle,±2.0kb,FG-dDMR_02,57,835
Shuffle,±2.0kb,FG-dDMR_03,286,835
Shuffle,±2.0kb,FG-dDMR_04,413,835
Shuffle,±2.0kb,FG-dDMR_05,382,835
Shuffle,±2.0kb,FG-dDMR_06,156,835
Shuffle,±2.0kb,FG-dDMR_07,288,835
Shuffle,±2.0kb,FG-dDMR_08,459,835
Shuffle,±2.0kb,FG-dDMR_09,231,835
Shuffle,±2.0kb,FG-dDMR_10,235,835
Shuffle,±2.0kb,FG-dDMR_11,331,835
Shuffle,±2.0kb,FG-dDMR_12,477,835
Shuffle,±2.0kb,FG-dDMR_13,458,835
Shuffle,±2.0kb,FG-dDMR_14,22,835
Shuffle,±2.0kb,FG-dDMR_15,395,835
Shuffle,±2.0kb,FG-dDMR_16,374,835
Shuffle,±2.0kb,FG-dDMR_17,320,835
Shuffle,±2.0kb,FG-dDMR_18,157,835
Shuffle,±2.0kb,FG-dDMR_19,323,835
Shuffle,±2.0kb,FG-dDMR_20,310,835
Shuffle,±2.0kb,FG-dDMR_21,500,835
Shuffle,±2.0kb,FG-dDMR_22,381,835
Shuffle,±2.0kb,FG-dDMR_23,381,835
Shuffle,±2.0kb,FG-dDMR_24,365,835
Shuffle,±2.0kb,FG-siren_01,182,835
Shuffle,±2.0kb,FG-siren_02,268,835
Shuffle,±2.0kb,FG-siren_03,268,835
Shuffle,±2.0kb,FG-siren_04,206,835
Shuffle,±2.0kb,FG-siren_05,329,835
Shuffle,±2.0kb,FG-siren_06,285,835
Shuffle,±2.0kb,FG-siren_07,366,835
Shuffle,±2.0kb,FG-siren_08,334,835
Shuffle,±2.0kb,FG-siren_09,454,835
Shuffle,±2.0kb,FG-siren_10,355,835
